,Name,Age,B,T,Ht,Wt,DoB,Birthplace,minor_urls,major_urls,salary,draft_round,years_in_minors,minor_positions
0,Evert Jean 't Hoen,24,R,R,"6' 2""",190,"Nov 8, 1975","Alphen aan den Rijn, South Holland, NL",https://www.baseball-reference.com/register/player.fcgi?id=thoen-001eve,,0.0,32,6,"Shortstop,ThirdBaseman,SecondBaseman"
1,Chuck Abbott,25,R,R,"6' 1""",180,"Jan 26, 1975","Chicago, IL, US",https://www.baseball-reference.com/register/player.fcgi?id=abbott002cha,,0.0,2,6,"Shortstop,SecondBaseman"
2,Juan Alvarez,26,L,L,"6' 1""",180,"Aug 9, 1973","Coral Gables, FL, US",https://www.baseball-reference.com/register/player.fcgi?id=alvare005jua,https://www.baseball-reference.com/players/a/alvarju01.shtml,0.0,np.nan,10,ReliefPitcher
3,Larry Barnes,25,L,L,"6' 1""",195,"Jul 23, 1974","Bakersfield, CA, US",https://www.baseball-reference.com/register/player.fcgi?id=barnes002lar,https://www.baseball-reference.com/players/b/barnela01.shtml,0.0,51,11,"FirstBaseman,Outfielder"
4,Justin Baughman,25,R,R,"5' 11""",175,"Aug 1, 1974","Mountain View, CA, US",https://www.baseball-reference.com/register/player.fcgi?id=baughm001jus,https://www.baseball-reference.com/players/b/baughju01.shtml,-350244.70635237714,5,7,"Shortstop,SecondBaseman,Outfielder"
5,Matt Beaumont,27,L,L,"6' 3""",210,"Apr 22, 1973","Wadsworth, OH, US",https://www.baseball-reference.com/register/player.fcgi?id=beaumo001mat,,0.0,4,8,Pitcher
6,Tim Belcher,38,R,R,"6' 3""",210,"Oct 19, 1961","Mount Gilead, OH, US",https://www.baseball-reference.com/register/player.fcgi?id=belche002tim,https://www.baseball-reference.com/players/b/belchti01.shtml,-39619418.70241062,1,6,StartingPitcher
7,Shawn Boskie,33,R,R,"6' 3""",205,"Mar 28, 1967","Hawthorne, NV, US",https://www.baseball-reference.com/register/player.fcgi?id=boskie001sha,https://www.baseball-reference.com/players/b/boskish01.shtml,-4285993.641835792,1,13,StartingPitcher
8,Jamie Burke,28,R,R,"6' 0""",195,"Sep 24, 1971","Roseburg, OR, US",https://www.baseball-reference.com/register/player.fcgi?id=burke-002jam,https://www.baseball-reference.com/players/b/burkeja02.shtml,1045624.1546170528,9,16,"Catcher,ThirdBaseman,FirstBaseman"
9,Jeremy Callier,24,R,R,"6' 0""",195,"Nov 18, 1975","St. Louis, MO, US",https://www.baseball-reference.com/register/player.fcgi?id=callie001jer,,0.0,np.nan,4,ReliefPitcher
10,Edgard Clemente,24,R,R,"5' 11""",188,"Dec 15, 1975","Santurce, PR",https://www.baseball-reference.com/register/player.fcgi?id=clemen001edg,https://www.baseball-reference.com/players/c/clemeed02.shtml,-329067.119456652,10,10,Outfielder
